,age,weight,height
Alexandru Bucur,0,0,0
Andrei Gorin,0,0,0
Balan Vasile,0,0,0
Daniel Plai,0,0,0
Florian Rosu,0,0,0
Florin Surugiu,38,81,170
Gabriel Rupanu,0,0,0
Hinckley Vovasa,0,0,0
Ionel Melinte,0,0,0
Ionut Dumitru,30,82,177
Jason Tomane,0,0,0
Marius Simionescu,25,84,187
Nicolas Onutu,0,0,0
Popa Vlad,0,0,0
Tudor Boldor,0,0,0
Tudor Butnariu,0,0,0
Aaron Wainwright,25,106,188
Adam Beard,27,117,203
Alun Wyn Jones,37,118,196
Ben Carter,22,117,198
Bradley Roberts,27,104,175
Christ Tshiunza ,0,0,0
Dan Lydiate,35,115,193
Dewi Lake,23,110,185
Dillon Lewis,27,125,185
Ellis Jenkins,29,101,185
Gareth Thomas,29,116,188
Jac Morgan,23,102,180
James Ratti,25,120,193
Josh Navidi,32,105,185
Leon Brown,26,129,190
Rhys Carre,25,131,191
Ross Moriarty,28,103,188
Ryan Elias,28,112,185
Seb Davies,26,119,198
Taine Basham,23,94,182
Taulupe Faletau,32,111,187
Tomas Francis,30,135,185
Tommy Reffell,23,98,185
Will Rowlands,31,123,203
Wyn Jones,30,118,183
Alex Cuthbert,32,104,198
Callum Sheedy,27,73,173
Dan Biggar,33,94,185
Gareth Anscombe,31,90,183
Gareth Davies,32,88,178
George North,30,109,193
Johnny McNicholl,32,96,185
Jonathan Davies,34,104,185
Josh Adams,27,96,183
Kieran Hardy,27,88,183
Liam Williams,31,85,188
Louis Rees-Zammit,0,0,0
Nick Tompkins,27,85,181
Owen Watkin,26,100,188
Rhys Priestland,36,90,188
Sam Wainwright,0,0,0
Tomos Williams,28,86,180
Allan Alaalatoa,29,120,182
Darcy Swain,25,108,200
David Porecki,0,0,0
Folau Fainga'a,27,106,178
Fraser McReight,0,0,0
Harry Wilson,0,0,0
James Slipper,33,117,186
Jed Holloway,30,113,195
Matt Gibbon,0,0,0
Matt Philip,28,115,199
Michael Hooper,31,101,182
Ned Hanigan,27,110,194
Peter Samu,31,101,185
Pone Fa'amausili,0,0,0
Rob Valetini,24,110,198
Robert Leota,0,0,0
Rory Arnold,32,120,208
Scott Sio,31,115,187
Taniela Tupou,26,128,175
Andrew Kellaway,27,91,180
Angus Bell,0,0,0
Bernard Foley,33,89,182
Cadeyrn Neville,0,0,0
Hunter Paisami,0,0,0
Irae Simone,27,105,193
Izaia Perese,25,91,180
Jake Gordon,29,87,186
James O'Connor,32,88,180
Jock Campbell,0,0,0
Jordan Petaia,22,98,190
Lachlan Lonergan,0,0,0
Lalakai Foketi,28,99,185
Len Ikitau,0,0,0
Marika Koroibete,30,93,180
Nic White,32,84,173
Nick Frost,0,0,0
Noah Lolesio,0,0,0
Quade Cooper,34,92,186
Reece Hodge,28,94,191
Samu Kerevi,29,108,186
Suliasi Vunivalu,0,0,0
Tate McDermott,24,80,175
Thomas Banks,28,93,186
Tom Wright,0,0,0
Albert Tuisue,29,107,192
Alex Rogers,0,0,0
Api Ratuniyarawa,36,114,198
Donncha O'Callaghan,0,0,0
Eroni Mawi,0,0,0
Jacob Rowan,33,98,186
Johnny Dyer,0,0,0
Julian Salvi,37,100,187
Kitione Kamikamica,26,102,188
Leone Nakarawa,34,117,198
Mesulame Dolokoto,0,0,0
Paul Doran-Jones,37,116,188
Peceli Yato,30,104,183
Peni Ravai,32,105,185
Samuel Matavesi,0,0,0
Scott Lawson,0,0,0
Temo Mayanavanua,0,0,0
Tevita Ratuva,0,0,0
Thomas Waldrom,39,108,184
Viliame Mata,31,116,196
Aminiasi Tuimaba,0,0,0
Apisai Naqalevu,33,104,188
Ben Volavola,32,91,191
Eneriko Buliruarua,0,0,0
Eroni Sau,32,93,185
Frank Lomani,26,81,180
Haereiti Hetet,0,0,0
Josua Tuisova,29,91,180
Kini Murimurivalu,33,94,184
Lee-Roy Atalifo,34,134,180
Levani Botia,33,98,178
Manasa Mataele,26,100,185
Martial Lagain,0,0,0
MasivesiDakuwaqa,0,0,0
Mesake Doge,0,0,0
Mesulame Kunavula,0,0,0
Moses Sorovi,27,77,173
Nemani Nadolo,35,125,194
Neville Edwards,0,0,0
Nikola Matawalu,33,85,179
Onisi Ratave,30,99,179
Peniami Narisia,0,0,0
Setariki Tuicuvu,27,90,179
Simione Kuruvoli,0,0,0
Teti Tela,31,90,176
Vilimoni Botitu,0,0,0
Vinaya Habosi,0,0,0
Waisea Nayacalevu,32,97,195
Zuriel Togiatama,0,0,0
Beka Gigashvili,30,90,173
Giorgi Tsutskiridze,0,0,0
Guram Gogichashvili,24,116,183
Lasha Jaiani,0,0,0
Lasha Lomidze,30,108,195
Mikheil Nariashvili,0,0,0
Nikoloz Khatiashvili,30,116,177
Nodar Tcheishvili,32,118,203
Otar Giorgadze,26,108,193
Sandro Mamamtavrishvili,0,0,0
Shalva Mamukashvili,32,106,180
Tornike Jalagonia,0,0,0
Akaki Tabutsadze,0,0,0
Davit Meskhi,0,0,0
Deme Tapladze,0,0,0
Gela Aprasidze,25,74,175
Giorgi Babunashvili,0,0,0
Giorgi Chkoidze,0,0,0
Giorgi Javakhia,0,0,0
Grigor Kerdikoshvili,0,0,0
Lasha Khmaladze,35,82,180
Luka Japaridze,0,0,0
Luka Nioradze,0,0,0
Merab Sharikadze,28,79,173
Miriani Modebadze,25,94,194
Niko Aptsiauri,0,0,0
Tedo Abzhandadze,0,0,0
Tornike Kakhoidze,0,0,0
Vano Karkadze,0,0,0
Vasil Lobzhanidze,26,75,175
Alex Dombrandt,0,0,0
Alfie Barbeary,0,0,0
Bevan Rodd,0,0,0
Billy Vunipola,30,126,188
Charlie Ewels,27,108,199
Courtney Lawes,33,115,201
Ellis Genge,27,113,187
Jack Willis,26,107,190
Jamie Blamire,0,0,0
Jamie George,32,109,183
Joe Heyes,23,126,189
Joe Marler,32,113,183
Jonny Hill,28,102,201
Kyle Sinckler,29,113,183
Lewis Ludlam,27,94,190
Luke Cowan-Dickie,29,112,184
Mako Vunipola,32,118,182
Maro Itoje,28,110,195
Nic Dolly,0,0,0
Nick Isiekwe,24,111,199
Oliver Chessum,0,0,0
Sam Simmonds,28,103,184
Sam Underhill,26,103,186
Tom Curry,24,102,185
Will Stuart,26,124,189
Adam Radwan,25,86,179
Ben Youngs,33,87,178
Danny Care,36,85,175
Elliot Daly,30,92,184
Freddie Steward,0,0,0
George Ford,29,80,175
George Furbank,0,0,0
Guy Porter,0,0,0
Harry Randall,25,70,161
Henry Arundell,0,0,0
Henry Slade,29,90,190
Jack Nowell,29,89,180
Jack Van Poortvliet,0,0,0
Joe Cokanasiga,25,112,192
Joe Marchant,26,89,183
Joel Conlon,28,99,188
Luke Northmore,0,0,0
Manu Tuilagi,31,110,185
Marcus Smith,23,82,175
Mark Atkinson,32,102,195
Max Malins,26,83,180
Ollie Hassell-Collins,0,0,0
Orlando Bailey,0,0,0
Owen Farrell,31,90,188
Rafi Quirke,0,0,0
Tommy Freeman,0,0,0
Will Joseph,0,0,0
Asaeli Ai Valu,33,108,187
Atsushi Sakate,29,98,180
Ben Gunter,0,0,0
Craig Millar,32,116,186
Jack Cornelsen,0,0,0
Jiwon Koo,28,122,184
Kazuki Himeno,28,108,187
Keita Inagaki,32,116,186
Michael Leitch,34,105,189
Sanaila Waqa,0,0,0
Shinnosuke Kakinaga,31,115,180
Shota Horie,37,104,180
Takeshi Hino,33,100,172
Wimpie van der Walt,34,106,188
Daiki Nakajima,0,0,0
Dylan Riley,0,0,0
Faulua Makisi,0,0,0
Gerhard van den Heever,33,102,192
Kaito Shigeno,32,75,170
Kanji Shimokawa,0,0,0
Kotaro Matsushima,29,88,178
Lee Seung-Shin,0,0,0
Lua Makisi ,0,0,0
Naoto Saito,0,0,0
Ryohei Yamanaka,34,90,185
Ryoto Nakamura,31,92,178
Ryuga Hashimoto,0,0,0
Shane Gates,0,0,0
