,age,weight,height
Lukas Ripley,0,0,0
Matt Toomua,33,90,182
Nick Jooste,0,0,0
Ray Nu'u,0,0,0
Rhys Van Nek,0,0,0
Sam Wallis,0,0,0
Tom Nowlan,0,0,0
Young Tonumaipea,0,0,0
Armand van der Merwe,31,109,179
Ben Curry,24,101,188
Benjamin Beaux,0,0,0
Brice Mach,0,0,0
Cameron Neild,28,104,183
Cameron Pierce,0,0,0
Cobus Wiese,25,116,199
Curtis Langdon,25,107,184
Daniel du Preez,27,112,196
Dom Barrow,29,108,198
JP du Preez,28,122,210
Jacobus Wiese,0,0,0
Joe Jones,27,113,183
Jonathan Ross,32,112,190
Julien Brugnaut,41,120,183
Luc Barba,0,0,0
Matt Postlethwaite,0,0,0
Nic Schonert,31,119,189
Ross Harrison,30,118,185
Simon McIntyre,31,110,182
Tommy Taylor,31,96,183
Tony Purpura,36,118,191
Vili Ma'afu,0,0,0
Vili Toluta'u,29,94,178
Aaron Read,0,0,0
Alan MacGinty,32,87,183
Anerin Thomas,0,0,0
Arron Reed,0,0,0
Byron McGuigan,33,85,185
Cal Ford,0,0,0
Callum Morris,0,0,0
Callum Smith,0,0,0
Christopher Ruiz,0,0,0
Connor Doherty,0,0,0
Faialaga Afamasaga,0,0,0
Florian Fritz,39,96,178
Francois De Klerk,0,0,0
Giorgi Pruidze,0,0,0
Gus Warr,0,0,0
Ignacio Mieres,35,90,189
Jack Metcalf,0,0,0
Kieran Wilkinson,0,0,0
Luke James,23,90,193
Marland Yarde,30,88,183
Raphael Quirke,0,0,0
Robert du Preez,29,96,192
Rohan Janse van Rensburg,28,109,183
Rouban Birch,0,0,0
Sam Dugdale,0,0,0
Sam Hill,29,98,184
Sam James,28,94,195
Simon Hammersley,29,93,188
Tom Curtis,0,0,0
Tom Roebuck,0,0,0
Will Cliff,34,78,178
Andy Saull,0,0,0
Ben Earl,25,102,188
Callum Hunter-Hill,25,103,198
Ethan Lewis,28,106,180
Gareth Milasinovich,30,134,190
Jackson Wray,32,101,188
Janco Venter,0,0,0
Marcel Henn,30,110,188
Marco Riccioni,25,116,183
Netani Talei,0,0,0
Ralph Adams-Hale,0,0,0
Ratunaisa Nauma,0,0,0
Richard Barrington,33,123,188
Sean Reffell,24,94,180
Tim Swinson,35,116,193
Tom Woolstencroft,28,100,184
Alec Clarey,0,0,0
Aled Davies,30,86,176
Alex Goode,34,91,180
Alex Lewington,31,93,183
Alex Lozowski,29,85,183
Ben Harris,0,0,0
Benoit Jasmin,0,0,0
Brandon Jackson,0,0,0
Dominic Morris,0,0,0
Duncan Taylor,33,92,189
Elliott Obatoyinbo,0,0,0
Harvey Beaton,0,0,0
Ionatana Tino,0,0,0
Ivan van Zyl,27,78,180
Jack Cobden,33,92,175
Josh Hallett,0,0,0
Luke Samoa,34,97,180
Manu Vunipola,0,0,0
Ralph Adams - Hale,0,0,0
Rotimi Segun,26,92,180
Sabin-Florin Stratila,27,80,187
Sean Maitland,34,98,188
Tim Menzel,31,70,169
Anthony Etrillard,29,108,180
Bastien Soury,27,100,180
Brian Alainu'uese,28,124,200
Bruce Devaux,0,0,0
Christopher Tolofua,29,120,183
Emerick Setiano,26,114,183
Florian Fresia,31,110,184
Julien Ory,0,0,0
Raphael Lakafia,34,95,185
Sergio Parisse,39,112,196
Swan Rebbadj,28,112,201
Willie Britz,34,108,193
Anthony Belleau,26,84,177
Anthony Meric,27,75,177
Baptiste Serin,28,87,178
Daniel Ikpefan,29,91,195
Duncan Paia'aua,28,91,180
ErwanDridi,0,0,0
Gervais Cordin,0,0,0
Isaia Toeava,37,96,181
Jeremy Boyadjis,0,0,0
Julien Heriteau,28,88,182
KalaniRobert,0,0,0
Louis Carbonel,24,88,177
LukaTchelidze,0,0,0
Ma'a Nonu,0,0,0
Ramiro Moyano,32,83,180
RayanRebbadj,0,0,0
Robbie Robinson,33,89,181
Rudi Wulf,39,91,182
Simon Moretti,0,0,0
Sébastien Taofifenua,0,0,0
Thomas Hoarau,0,0,0
Théo Dachary,0,0,0
Alban Placines,29,90,189
Antoine Miquel,28,105,190
Charlie Faumuina,36,128,184
Dorian Aldegheri,29,115,180
Guillaume Cramont,22,97,182
Paulo Tafili,0,0,0
Richie Arnold,32,127,208
Rodrigue Neti,27,108,185
Alexis Bales,32,75,173
Arthur Bonneval,27,82,181
Baptiste Germain,0,0,0
Dimitri Delibles,0,0,0
Emmanuel Meafou,0,0,0
Lucas Tauzin,24,96,187
Martin Page-Relo,0,0,0
Maxime Medard,36,85,180
Pierre Fouyssac,27,100,191
Pita Ahki,30,97,189
Sofiane Guitoune,33,94,184
Tim Nanai-Williams,33,88,178
Yannick Youyoutte,0,0,0
Zack Holmes,32,87,175
Alan O'Connor,30,110,195
Eric O'Sullivan,27,117,195
John Andrew,29,100,180
Jordi Murphy,31,102,188
Marcus Rea,25,108,188
Marty Moore,31,126,180
Sam Carter,33,116,201
Aaron Sexton,22,94,188
Billy Burns,28,87,183
Craig Gilroy,31,91,183
David Shanahan,29,77,175
Declan Moore,26,112,184
Frank Bradshaw-Ryan,27,116,205
Ian Madigan,33,89,178
John Cooney,32,85,178
Luke Marshall,31,99,180
Rob Lyttle,26,85,175
Archer Holz,0,0,0
Geoffrey Cridge,28,114,200
Harry Johnson-Holmes,25,111,186
Hugh Sinclair,0,0,0
Lachlan Swinton,0,0,0
Langi Gleeson,0,0,0
Mahe Vailanu,26,85,178
Paddy Ryan,32,120,187
Rahboni Warren-Vosayaco,27,108,190
Ruan Smith,33,123,188
Tetera Faulkner,34,117,178
Alex Newsome,28,93,189
Ben Donaldson,0,0,0
Carlo Tizzano,0,0,0
Charlie Gamble,0,0,0
Dylan Pietsch,0,0,0
Henry Robertson,0,0,0
Jack Grant,0,0,0
James Ramm,0,0,0
James Turner,24,101,190
Jamie Roberts,36,110,193
Jeremy Williams,0,0,0
Mark Nawaqanitawase,0,0,0
Max Douglas,0,0,0
Tane Edmed,0,0,0
Teddy Wilson,0,0,0
Tevita Funa,0,0,0
Tiaan Tauakipulu,0,0,0
Tom Horton,0,0,0
Triston Reilly,0,0,0
Will Harris,0,0,0
Will Harrison,0,0,0
Andrew Kitchener,26,108,203
Ben Murphy,0,0,0
Caleb Montgomery,0,0,0
Chris Judge,0,0,0
Christian Judge,0,0,0
Ethan Waller,30,110,183
Graham Kitchener,33,112,198
Isaac Miller,0,0,0
Jack Owlett,0,0,0
Joe Batley,0,0,0
Julien Pierre,41,109,197
Justin Clegg,0,0,0
Matt Garvey,35,122,196
Matt Kvesic,30,99,185
Michel Gomes,0,0,0
Murray McCallum,26,120,188
Niall Annett,31,102,185
Sam Lewis,32,96,180
Ted Hill,23,112,196
Tom Dodd,0,0,0
Alex Hearle,0,0,0
Ashley Beck,32,99,191
Beck Cutting,0,0,0
Billy Searle,26,76,178
Duncan Weir,31,93,173
Eli Walker,0,0,0
Fin Smith,0,0,0
Francois Venter,31,95,185
Gareth Simpson,0,0,0
Harry Doel,0,0,0
Jack Forsythe ,0,0,0
Jamie Shillcock,25,86,178
Jay Tyack,0,0,0
Kai Owen,0,0,0
Kyle Hatherell,0,0,0
Lewis Holsey,0,0,0
Marc Thomas,0,0,0
Melani Nanai,29,90,194
Nikolai Klewinghaus,24,79,184
Noah Heward,0,0,0
Oli Morris,23,87,178
Ollie Lawrence,0,0,0
Owen Williams,30,87,185
Paula Kinikinilau,36,105,185
Perry Humphreys,28,89,183
Rory Parata,0,0,0
Seb Atkinson,0,0,0
Tom Howe,27,90,183
Will Butler,24,85,178
Will Chudley,34,79,183
