,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Yann Thomas,Prop,bristol,2022, 5 , 1 , 76 , 16 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 20 , 4 , 0 , 1 , 4 , 0 , 0 
Alapati Leiua,Centre,bristol,2022, 20 , 4 , 69 , 31 , 8 , 1 , 19 , 4 , 1 , 0 , 0 , 20 , 10 , 0 , 4 , 1 , 0 , 0 
Andy Uren,Scrum half,bristol,2022, 15 , 3 , 12 , 10 , 0 , 1 , 101 , 3 , 14 , 0 , 0 , 11 , 2 , 2 , 2 , 0 , 0 , 0 
Antoine Frisch,Centre,bristol,2022,,,,,,,,,,,,,,,,,,
Ash Challenger,Fullback,bristol,2022, 5 , 1 , 6 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 
Callum Sheedy,Fly half,bristol,2022, 102 , 3 , 28 , 19 , 2 , 0 , 144 , 2 , 25 , 30 , 9 , 21 , 11 , 0 , 7 , 1 , 1 , 0 
Carwyn Penny,Fly half,bristol,2022,,,,,,,,,,,,,,,,,,
Charles Piutau,Fullback,bristol,2022, 10 , 2 , 57 , 18 , 1 , 1 , 11 , 3 , 4 , 0 , 0 , 14 , 1 , 0 , 2 , 3 , 0 , 0 
Charlie Powell,,bristol,2022,,,,,,,,,,,,,,,,,,
Daniel Sancery,Fullback,bristol,2022,,,,,,,,,,,,,,,,,,
Fitz Harding,,bristol,2022, 0 , 0 , 155 , 88 , 8 , 1 , 34 , 10 , 1 , 0 , 0 , 104 , 11 , 10 , 17 , 2 , 2 , 0 
George Kloska,,bristol,2022,,,,,,,,,,,,,,,,,,
Harry Randall,Scrum half,bristol,2022, 0 , 0 , 25 , 12 , 0 , 0 , 189 , 0 , 55 , 0 , 0 , 21 , 5 , 0 , 7 , 2 , 0 , 0 
Henry Purdy,Wing,bristol,2022, 10 , 2 , 146 , 49 , 9 , 5 , 23 , 9 , 15 , 0 , 0 , 21 , 6 , 0 , 7 , 0 , 0 , 0 
Ioan Lloyd,Fly Half,bristol,2022,,,,,,,,,,,,,,,,,,
Jack Bates,,bristol,2022, 5 , 1 , 92 , 14 , 2 , 3 , 8 , 1 , 2 , 0 , 0 , 18 , 1 , 1 , 2 , 2 , 2 , 0 
Jono Benz Salomon,Fullback,bristol,2022,,,,,,,,,,,,,,,,,,
Adam Beard,Lock,lions,2022,,,,,,,,,,,,,,,,,,
Alun Wyn Jones,Lock,lions,2022,,,,,,,,,,,,,,,,,,
Courtney Lawes,Flanker 6,lions,2022,,,,,,,,,,,,,,,,,,
Hamish Watson,Flanker 7,edinburgh,2022, 0 , 0 , 98 , 57 , 2 , 0 , 20 , 6 , 3 , 0 , 0 , 71 , 3 , 2 , 10 , 3 , 0 , 0 
Iain Henderson,Lock,lions,2022,,,,,,,,,,,,,,,,,,
