,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Manuel Leindekar,Lock,uruguay,2019, 0 , 0 , 18 , 13 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 28 , 2 , 2 , 0 , 0 , 0 , 0 
Mateo Sanguinetti,Prop,uruguay,2019, 0 , 0 , 9 , 7 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 13 , 0 , 0 , 0 , 8 , 0 , 0 
Santiago Civetta,Flanker 7,uruguay,2019, 0 , 0 , 33 , 15 , 5 , 1 , 2 , 1 , 0 , 0 , 0 , 22 , 1 , 0 , 1 , 0 , 1 , 0 
Agustin Ormaechea,Fullback,uruguay,2019,,,,,,,,,,,,,,,,,,
Diego Magno,,uruguay,2019, 0 , 0 , 4 , 1 , 1 , 1 , 3 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 
Facundo Gattas,,uruguay,2019, 0 , 0 , -2 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 2 , 0 , 1 
Federico Favaro,Wing,uruguay,2019, 0 , 0 , 4 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 7 , 4 , 0 , 0 , 0 , 0 , 0 
Felipe Arcos Perez,Outside centre,uruguay,2019,,,,,,,,,,,,,,,,,,
Felipe Etcheverry,,uruguay,2019, 0 , 0 , 3 , 2 , 0 , 0 , 1 , 0 , 4 , 0 , 0 , 2 , 0 , 1 , 1 , 0 , 0 , 0 
Gaston Mieres,Fullback,uruguay,2019, 0 , 0 , 43 , 17 , 2 , 1 , 4 , 2 , 2 , 0 , 0 , 6 , 0 , 1 , 2 , 1 , 0 , 0 
Ignacio Péculo,Fullback,uruguay,2019,,,,,,,,,,,,,,,,,,
Deon Fourie,Openside Flanker,south-africa,2019,,,,,,,,,,,,,,,,,,
Duane Vermeulen,Number 8,south-africa,2019, 0 , 0 , 160 , 59 , 4 , 1 , 6 , 1 , 1 , 0 , 0 , 50 , 3 , 3 , 4 , 6 , 0 , 0 
Eben Etzebeth,Lock,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Elrigh Louw,Number 8,south-africa,2019,,,,,,,,,,,,,,,,,,
Franco Mostert ,Openside flanker,south-africa,2019,,,,,,,,,,,,,,,,,,
Frans Malherbe,Prop,south-africa,2019, 5 , 1 , 22 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 37 , 8 , 1 , 0 , 1 , 0 , 0 
Jasper Wiese,Number 8,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Joeseph Dweba,Hooker,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Kwagga Smith,Flanker 6,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Lood De Jager,Lock 4,south-africa,2019, 5 , 1 , 85 , 42 , 5 , 2 , 12 , 0 , 0 , 0 , 0 , 67 , 3 , 4 , 5 , 3 , 0 , 0 
Malcolm Marx,Hooker,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Marcell Coetzee,Flanker 6,south-africa,2019, 0 , 0 , 16 , 7 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 1 , 0 , 0 , 0 , 0 
Marvin Orie,Lock,south-africa,2019, 0 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 
Mbongeni Mbonami,Hooker,south-africa,2019, 20 , 4 , 37 , 17 , 0 , 0 , 7 , 1 , 0 , 0 , 0 , 36 , 0 , 0 , 3 , 2 , 0 , 0 
Ox Nche,Prop,south-africa,2019,,,,,,,,,,,,,,,,,,
Pieter-Steph du Toit,Flanker 7,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Ruan Nortje,Lock,south-africa,2019,,,,,,,,,,,,,,,,,,
Rynhard Elstadt,Lock,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Salmaan Moerat,Lock,south-africa,2019,,,,,,,,,,,,,,,,,,
Siya Kolisi,Blindside Flanker,south-africa,2019,,,,,,,,,,,,,,,,,,
Steven Kitshoff,Prop,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Thomas du Toit,Prop,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Trevor Nyakane,Prop,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Vincent Koch,Prop,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Andre Esterhuizen,Centre,south-africa,2019, 0 , 0 , 35 , 8 , 0 , 0 , 4 , 0 , 2 , 0 , 0 , 11 , 1 , 3 , 2 , 1 , 1 , 0 
Aphelele Fassi,Fullback,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Canan Moodie,Right wing,south-africa,2019,,,,,,,,,,,,,,,,,,
Cheslin Kolbe,Fullback,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Damian Willemse,Fly half,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Damian de Allende,Centre,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Elton Jantjies,Fly half,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Evan Roos,Number 8,south-africa,2019,,,,,,,,,,,,,,,,,,
Francois de Klerk,Scrum Half,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Frans Steyn,Centre,south-africa,2019, 5 , 1 , 112 , 31 , 3 , 4 , 22 , 3 , 17 , 0 , 0 , 29 , 3 , 2 , 2 , 2 , 0 , 0 
Grant Williams,Scrum half,south-africa,2019,,,,,,,,,,,,,,,,,,
Handre Pollard,Fly half,south-africa,2019, 106 , 2 , 183 , 40 , 17 , 8 , 84 , 6 , 56 , 12 , 23 , 39 , 4 , 0 , 10 , 2 , 0 , 0 
Hershel Jantjies,Scrum half,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Jacobus Reinach,Scrum half,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Jaden Hendrikse,Scrum Half,south-africa,2019,,,,,,,,,,,,,,,,,,
Jesse Kriel,Centre,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Kurt-Lee Arendse,Full Back,south-africa,2019,,,,,,,,,,,,,,,,,,
Lukhanyo Am,Centre,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Makazole Mapimpi,Wing,south-africa,2019,,,,,,,,,,,,,,,,,,
Ntuthuko Mchunu,Prop,south-africa,2019,,,,,,,,,,,,,,,,,,
Warrick Gelant,Fullback,south-africa,2019, 10 , 2 , 196 , 25 , 11 , 8 , 19 , 4 , 11 , 0 , 0 , 10 , 3 , 3 , 7 , 0 , 0 , 0 
Willie Le Roux,Fullback,south-africa-a,2019,,,,,,,,,,,,,,,,,,
Andrew Porter,Prop,ireland,2019,,,,,,,,,,,,,,,,,,
Caelan Doris,Number 8,ireland,2019,,,,,,,,,,,,,,,,,,
Cian Healy,Prop,ireland,2019, 0 , 0 , 24 , 27 , 0 , 0 , 3 , 0 , 1 , 0 , 0 , 27 , 3 , 0 , 1 , 2 , 0 , 0 
Cian Prendergast,Number 8,ireland,2019,,,,,,,,,,,,,,,,,,
Dan Sheehan,Hooker,ireland,2019,,,,,,,,,,,,,,,,,,
Dave Heffernan,Hooker,ireland,2019,,,,,,,,,,,,,,,,,,
Dave Kilcoyne,Prop,ireland,2019, 0 , 0 , 70 , 36 , 7 , 1 , 10 , 2 , 0 , 0 , 0 , 33 , 2 , 0 , 0 , 1 , 0 , 0 
Ed Byrne,Loosehead Prop,ireland,2019,,,,,,,,,,,,,,,,,,
Finlay Bealham,Prop,ireland,2019,,,,,,,,,,,,,,,,,,
Gavin Coombes,Flanker 6,ireland,2019,,,,,,,,,,,,,,,,,,
Iain Henderson,Lock,ireland,2019, 0 , 0 , 78 , 50 , 1 , 2 , 15 , 0 , 0 , 0 , 0 , 61 , 3 , 6 , 7 , 0 , 0 , 0 
Jack Conan,Number 8,ireland,2019, 0 , 0 , 59 , 28 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 26 , 1 , 1 , 0 , 1 , 0 , 0 
James Ryan,Lock,ireland,2019, 10 , 2 , 86 , 56 , 0 , 0 , 9 , 1 , 0 , 0 , 0 , 49 , 2 , 4 , 4 , 4 , 0 , 0 
Jeremy Loughman,Prop,ireland,2019,,,,,,,,,,,,,,,,,,
Joe McCarthy,Lock 5,ireland,2019,,,,,,,,,,,,,,,,,,
Josh Van der Flier,Flanker 7,ireland,2019, 0 , 0 , 50 , 29 , 3 , 0 , 7 , 1 , 1 , 0 , 0 , 73 , 4 , 0 , 0 , 1 , 0 , 0 
Kieran Treadwell,Lock,ireland,2019,,,,,,,,,,,,,,,,,,
Michael Bent,Tighthead Prop,ireland,2019,,,,,,,,,,,,,,,,,,
Niall Scannell,Hooker,ireland,2019, 0 , 0 , 21 , 17 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 11 , 0 , 2 , 4 , 0 , 0 , 0 
Nick Timoney,Number 8,ireland,2019,,,,,,,,,,,,,,,,,,
Peter O'Mahony,Flanker 7,ireland,2019, 5 , 1 , 37 , 26 , 0 , 0 , 12 , 1 , 1 , 0 , 0 , 47 , 2 , 8 , 4 , 5 , 0 , 0 
Rob Herring,Hooker,ireland,2019, 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 
Ronan Kelleher,Hooker,ireland,2019,,,,,,,,,,,,,,,,,,
Ryan Baird,Lock,ireland,2019,,,,,,,,,,,,,,,,,,
Tadgh Beirne,Lock,ireland,2019, 0 , 0 , 54 , 35 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 21 , 1 , 5 , 0 , 1 , 1 , 0 
Tadhg Furlong,Tighthead Prop,ireland,2019, 15 , 3 , 68 , 35 , 2 , 2 , 10 , 0 , 1 , 0 , 0 , 52 , 5 , 2 , 7 , 1 , 0 , 0 
Tom O'Toole,Prop,ireland,2019,,,,,,,,,,,,,,,,,,
Andrew Conway,Wing,ireland,2019, 20 , 4 , 119 , 27 , 5 , 5 , 13 , 3 , 8 , 0 , 0 , 10 , 0 , 1 , 1 , 3 , 0 , 0 
Bundee Aki,Centre,ireland,2019, 5 , 1 , 155 , 45 , 6 , 3 , 18 , 5 , 0 , 0 , 0 , 42 , 2 , 4 , 9 , 4 , 0 , 1 
Ciaran Frawley,Fly half,ireland,2019,,,,,,,,,,,,,,,,,,
Conor Murray,Scrum half,ireland,2019, 2 , 0 , 17 , 7 , 0 , 1 , 416 , 5 , 37 , 1 , 0 , 25 , 6 , 1 , 6 , 3 , 0 , 0 
Craig Casey,Scrum Half,ireland,2019,,,,,,,,,,,,,,,,,,
Garry Ringrose,Centre,ireland,2019, 10 , 2 , 145 , 48 , 4 , 5 , 29 , 7 , 3 , 0 , 0 , 60 , 15 , 4 , 3 , 1 , 0 , 0 
Hugo Keenan,Fullback,ireland,2019,,,,,,,,,,,,,,,,,,
Jack Carty,Fly half,ireland,2019, 14 , 0 , 50 , 16 , 3 , 0 , 62 , 6 , 39 , 4 , 2 , 28 , 2 , 2 , 6 , 1 , 0 , 0 
James Hume,Centre 13,ireland,2019,,,,,,,,,,,,,,,,,,
James Lowe,Left Wing,ireland,2019,,,,,,,,,,,,,,,,,,
Jamison Gibson-Park,Scrum Half,ireland,2019,,,,,,,,,,,,,,,,,,
Jimmy O'Brien,Centre,ireland,2019,,,,,,,,,,,,,,,,,,
Joey Carbery,Fly half,ireland,2019, 15 , 1 , 6 , 8 , 1 , 0 , 44 , 1 , 21 , 5 , 0 , 6 , 2 , 1 , 1 , 1 , 0 , 0 
Johnny Sexton,Fly Half,ireland,2019, 30 , 2 , 29 , 13 , 1 , 2 , 68 , 2 , 25 , 10 , 0 , 19 , 3 , 0 , 6 , 0 , 0 , 0 
Jordan Larmour,Wing,ireland,2019, 10 , 2 , 187 , 60 , 16 , 6 , 13 , 7 , 20 , 0 , 0 , 16 , 8 , 4 , 9 , 1 , 0 , 0 
Keith Earls,Wing,ireland,2019, 0 , 0 , 70 , 28 , 1 , 3 , 18 , 6 , 2 , 0 , 0 , 18 , 1 , 1 , 8 , 0 , 0 , 0 
Michael Lowry,Fullback,ireland,2019,,,,,,,,,,,,,,,,,,
Robbie Henshaw,Centre,ireland,2019, 5 , 1 , 52 , 20 , 4 , 2 , 9 , 1 , 0 , 0 , 0 , 12 , 2 , 2 , 4 , 1 , 0 , 0 
Robert Baloucoune,Wing,ireland,2019,,,,,,,,,,,,,,,,,,
Simon Westraadt,,ireland,2019,,,,,,,,,,,,,,,,,,
Stuart McCloskey,Centre,ireland,2019,,,,,,,,,,,,,,,,,,
Allan Dell,Prop,scotland,2019, 0 , 0 , 8 , 12 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 40 , 0 , 2 , 0 , 1 , 0 , 0 
Andy Christie,Flanker 6,scotland,2019,,,,,,,,,,,,,,,,,,
David Cherry,Hooker,scotland,2019,,,,,,,,,,,,,,,,,,
Ewan Ashman,Hooker,scotland,2019,,,,,,,,,,,,,,,,,,
Fraser Brown,Hooker,scotland,2019,,,,,,,,,,,,,,,,,,
George Turner,Hooker,scotland,2019, 5 , 1 , 29 , 19 , 1 , 1 , 5 , 2 , 1 , 0 , 0 , 19 , 6 , 4 , 2 , 2 , 0 , 0 
Glen Young,Lock,scotland,2019,,,,,,,,,,,,,,,,,,
Grant Gilchrist,Lock,scotland,2019, 0 , 0 , 23 , 24 , 0 , 0 , 7 , 1 , 0 , 0 , 0 , 33 , 4 , 0 , 2 , 0 , 0 , 0 
Hamish Watson,Flanker 7,scotland,2019, 0 , 0 , 27 , 17 , 5 , 0 , 5 , 1 , 0 , 0 , 0 , 32 , 0 , 2 , 0 , 0 , 0 , 0 
Jack Dempsey,Flanker 6,scotland,2019,,,,,,,,,,,,,,,,,,
Jamie Bhattie,Prop,scotland,2019,,,,,,,,,,,,,,,,,,
Jamie Hodgson,Lock,scotland,2019,,,,,,,,,,,,,,,,,,
Jamie Ritchie,Openside Flanker,scotland,2019, 0 , 0 , 74 , 16 , 5 , 2 , 12 , 1 , 0 , 0 , 0 , 44 , 2 , 7 , 3 , 0 , 0 , 0 
Javan Sebastian,Prop,scotland,2019,,,,,,,,,,,,,,,,,,
Jonny Gray,Lock,scotland,2019, 0 , 0 , 60 , 30 , 1 , 1 , 12 , 4 , 0 , 0 , 0 , 53 , 2 , 1 , 1 , 0 , 0 , 0 
Josh Bayliss,Blindside Flanker,scotland,2019,,,,,,,,,,,,,,,,,,
Luke Crosbie,Flanker 6,scotland,2019,,,,,,,,,,,,,,,,,,
Magnus Bradbury,Blindside Flanker,scotland,2019, 0 , 0 , 78 , 38 , 3 , 3 , 6 , 0 , 0 , 0 , 0 , 31 , 5 , 3 , 3 , 0 , 0 , 0 
Matt Fagerson,Flanker 7,scotland,2019,,,,,,,,,,,,,,,,,,
Nick Haining,Number 8,scotland,2019,,,,,,,,,,,,,,,,,,
Pierre Schoeman,Prop,scotland,2019,,,,,,,,,,,,,,,,,,
Rory Darge,Flanker 7,scotland,2019,,,,,,,,,,,,,,,,,,
Rory Sutherland,Prop,scotland,2019,,,,,,,,,,,,,,,,,,
Sam Skinner,Lock 4,scotland,2019, 0 , 0 , 5 , 3 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 5 , 2 , 0 , 0 , 0 
Scott Cummings,Lock,scotland,2019, 0 , 0 , 32 , 18 , 1 , 2 , 5 , 1 , 0 , 0 , 0 , 28 , 4 , 1 , 1 , 1 , 0 , 0 
Stuart McInally,Hooker,scotland,2019, 5 , 1 , 49 , 24 , 3 , 2 , 14 , 1 , 0 , 0 , 0 , 22 , 1 , 1 , 4 , 2 , 0 , 0 
WP Nel,Prop,scotland,2019, 5 , 1 , 14 , 10 , 2 , 1 , 8 , 1 , 0 , 0 , 0 , 46 , 3 , 1 , 0 , 5 , 0 , 0 
Zander Fagerson,Prop,scotland,2019, 5 , 1 , 18 , 11 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 17 , 4 , 2 , 0 , 3 , 1 , 0 
Adam Hastings,Fly Half,scotland,2019, 30 , 2 , 44 , 14 , 6 , 4 , 49 , 4 , 28 , 10 , 0 , 13 , 0 , 0 , 4 , 0 , 0 , 0 
Ali Price,Scrum half,scotland,2019, 5 , 1 , 17 , 3 , 0 , 1 , 77 , 1 , 6 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 
Ben Vellacott,Scrum half,scotland,2019,,,,,,,,,,,,,,,,,,
Ben White,Scrum half,scotland,2019,,,,,,,,,,,,,,,,,,
Blair Kinghorn,Fullback,scotland,2019, 5 , 1 , 69 , 21 , 4 , 2 , 14 , 6 , 5 , 0 , 0 , 8 , 1 , 2 , 3 , 0 , 0 , 0 
Cameron Redpath,Centre,scotland,2019,,,,,,,,,,,,,,,,,,
Chris Harris,Centre,scotland,2019,,,,,,,,,,,,,,,,,,
Darcy Graham,Wing,scotland,2019, 5 , 1 , 123 , 27 , 11 , 5 , 3 , 2 , 2 , 0 , 0 , 15 , 3 , 1 , 5 , 1 , 0 , 0 
Duhan van der Merwe,Wing,scotland,2019,,,,,,,,,,,,,,,,,,
Finn Russell,Fly half,scotland,2019,,,,,,,,,,,,,,,,,,
George Horne,Scrum half,scotland,2019, 22 , 4 , 31 , 13 , 3 , 2 , 129 , 1 , 9 , 1 , 0 , 13 , 1 , 1 , 0 , 1 , 0 , 0 
Kyle Rowe,Fullback,scotland,2019,,,,,,,,,,,,,,,,,,
Kyle Steyn,Wing,scotland,2019,,,,,,,,,,,,,,,,,,
Mark Bennett,Centre,scotland,2019,,,,,,,,,,,,,,,,,,
Ollie Smith,Fullback,scotland,2019,,,,,,,,,,,,,,,,,,
Rory Hutchinson,Centre,scotland,2019, 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
Ross Thompson,Fullback,scotland,2019,,,,,,,,,,,,,,,,,,
Rufus McLean,,scotland,2019,,,,,,,,,,,,,,,,,,
Sam Johnson,Centre,scotland,2019, 5 , 1 , 61 , 24 , 3 , 2 , 18 , 2 , 0 , 0 , 0 , 25 , 0 , 1 , 2 , 0 , 0 , 0 
Sione Tuipulotu,Centre 12,scotland,2019,,,,,,,,,,,,,,,,,,
Stuart Hogg,Fullback,scotland,2019, 3 , 0 , 161 , 34 , 8 , 3 , 20 , 5 , 20 , 0 , 0 , 10 , 6 , 0 , 7 , 2 , 0 , 0 
Ben Betts,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Ben Tameifuna,Prop,tonga,2019, 0 , 0 , 2 , 4 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 2 , 0 , 0 
Dan Tuohy,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Daniel Faleafa,Flanker 6,tonga,2019, 0 , 0 , -1 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 0 
David Lolohea,Tight head prop,tonga,2019,,,,,,,,,,,,,,,,,,
Don Lolo,Lock 4,tonga,2019,,,,,,,,,,,,,,,,,,
Duke Nginingini,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Fotu Lokotui,Flanker 7,tonga,2019, 0 , 0 , 6 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 9 , 1 , 5 , 0 , 0 , 0 , 0 
Ian Evans,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Jay Fonokalafi,Loosehead Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Jeremy Thrush,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Jethro Felemi,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Leva Fifita,Lock,tonga,2019, 0 , 0 , 42 , 27 , 2 , 1 , 9 , 2 , 0 , 0 , 0 , 42 , 3 , 3 , 4 , 2 , 0 , 0 
Loni Uhila,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Lopeti Timani,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Lua Li,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Ma'afu Fia,Prop,tonga,2019, 0 , 0 , 2 , 11 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 21 , 0 , 1 , 1 , 2 , 0 , 0 
Maama Vaipulu,Number 8,tonga,2019, 0 , 0 , 110 , 50 , 2 , 2 , 16 , 3 , 2 , 0 , 0 , 50 , 4 , 2 , 4 , 5 , 0 , 0 
Mateaki Kafatolu,Flanker 6,tonga,2019,,,,,,,,,,,,,,,,,,
Nasi Manu,Number 8,tonga,2019, 0 , 0 , 15 , 8 , 1 , 1 , 4 , 1 , 0 , 0 , 0 , 11 , 1 , 2 , 2 , 0 , 0 , 0 
Nicola Cattina,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Onehunga Havili,Flanker 7,tonga,2019,,,,,,,,,,,,,,,,,,
Paula Ngauamo,Hooker,tonga,2019, 0 , 0 , 23 , 19 , 1 , 0 , 8 , 0 , 0 , 0 , 0 , 14 , 3 , 1 , 6 , 0 , 0 , 0 
Sam Dickinson,Number 8,tonga,2019,,,,,,,,,,,,,,,,,,
Samiuela Moli,Hooker,tonga,2019,,,,,,,,,,,,,,,,,,
Shaun Knight,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Siegfried Fisiihoi,Prop,tonga,2019, 5 , 1 , 41 , 17 , 1 , 1 , 8 , 1 , 1 , 0 , 0 , 26 , 2 , 1 , 1 , 3 , 0 , 0 
Sila Puafisi,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Sione Tuipolotu,Lock 4,tonga,2019,,,,,,,,,,,,,,,,,,
Sione Vailanu,Number 8,tonga,2019,,,,,,,,,,,,,,,,,,
Siua Maile,Hooker,tonga,2019,,,,,,,,,,,,,,,,,,
Solomone Funaki,Blindside Flanker,tonga,2019,,,,,,,,,,,,,,,,,,
Tanginoa Halaifonua,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Tom Johnson,Flanker 6,tonga,2019,,,,,,,,,,,,,,,,,,
Toma Taufa,Prop,tonga,2019,,,,,,,,,,,,,,,,,,
Valentino Mapapalangi,Flanker 6,tonga,2019,,,,,,,,,,,,,,,,,,
Wandile Putuma,Lock,tonga,2019,,,,,,,,,,,,,,,,,,
Zane Kapeli,Flanker 7,tonga,2019, 5 , 1 , 24 , 14 , 2 , 0 , 7 , 1 , 0 , 0 , 0 , 28 , 8 , 5 , 4 , 2 , 0 , 0 
Afeafe Haisila-Lokotui,Centre,tonga,2019,,,,,,,,,,,,,,,,,,
Afusipa Taumoepeau,Wing,tonga,2019,,,,,,,,,,,,,,,,,,
Aisea Halo,Scrum Half,tonga,2019,,,,,,,,,,,,,,,,,,
Atunaisa Manu,Right wing,tonga,2019,,,,,,,,,,,,,,,,,,
Cecil Afrika,Fly half,tonga,2019,,,,,,,,,,,,,,,,,,
Fine Inisi,Centre 13,tonga,2019,,,,,,,,,,,,,,,,,,
Hosea Saumaki,Wing,tonga,2019,,,,,,,,,,,,,,,,,,
JC Roos,Centre,tonga,2019,,,,,,,,,,,,,,,,,,
JacopoTrulla,,tonga,2019,,,,,,,,,,,,,,,,,,
James Faiva,Fly half,tonga,2019, 2 , 0 , 20 , 17 , 1 , 0 , 43 , 0 , 32 , 1 , 0 , 20 , 5 , 2 , 5 , 1 , 0 , 0 
John Tapueluelu,Fullback,tonga,2019,,,,,,,,,,,,,,,,,,
Kali Hala,Fly half,tonga,2019,,,,,,,,,,,,,,,,,,
Kurt Morath,Fly half,tonga,2019, 0 , 0 , 1 , 5 , 0 , 0 , 16 , 0 , 12 , 0 , 0 , 8 , 1 , 0 , 4 , 0 , 0 , 0 
Leon Fukofuka,Scrum half,tonga,2019, 0 , 0 , 1 , 2 , 0 , 0 , 71 , 2 , 6 , 0 , 0 , 8 , 2 , 0 , 2 , 0 , 0 , 0 
Luatangi Li,,canada,2019,,,,,,,,,,,,,,,,,,
Maile Ngauamo,,tonga,2019,,,,,,,,,,,,,,,,,,
Mali Hingano,Centre,tonga,2019, 10 , 2 , 91 , 21 , 6 , 0 , 7 , 2 , 0 , 0 , 0 , 26 , 4 , 2 , 0 , 1 , 0 , 0 
Malietoa Hingano,,tonga,2019,,,,,,,,,,,,,,,,,,
Nafi Tu'itavake,Right Wing,tonga,2019,,,,,,,,,,,,,,,,,,
Nikolai Foliaki,Centre,tonga,2019,,,,,,,,,,,,,,,,,,
Oliver Zono,Fly half,tonga,2019,,,,,,,,,,,,,,,,,,
Penikolo Latu,Wing,tonga,2019,,,,,,,,,,,,,,,,,,
Robbie Fruean,Centre,tonga,2019,,,,,,,,,,,,,,,,,,
Sam Vaka,Centre,tonga,2019,,,,,,,,,,,,,,,,,,
Setefano Funaki,,tonga,2019,,,,,,,,,,,,,,,,,,
Solomone Kata,,tonga,2019,,,,,,,,,,,,,,,,,,
Sonatane Takulua,Scrum half,tonga,2019, 23 , 1 , 44 , 18 , 3 , 0 , 217 , 3 , 31 , 6 , 2 , 19 , 3 , 4 , 6 , 0 , 0 , 0 
Tau Koloamatangi,Fullback,tonga,2019,,,,,,,,,,,,,,,,,,
Telusa Veainu,Wing,tonga,2019, 15 , 3 , 165 , 35 , 8 , 4 , 12 , 7 , 11 , 0 , 0 , 5 , 2 , 1 , 7 , 1 , 0 , 0 
Vaea Tutuila Vaea,Inside centre,tonga,2019,,,,,,,,,,,,,,,,,,
Viliami Fine,Fullback,tonga,2019,,,,,,,,,,,,,,,,,,
Viliami Taulani,Fly Half,tonga,2019,,,,,,,,,,,,,,,,,,
Walter Fifita,,tonga,2019,,,,,,,,,,,,,,,,,,
Adrian Motoc,Lock,romania,2019,,,,,,,,,,,,,,,,,,
Alex Gordas,Prop,romania,2019,,,,,,,,,,,,,,,,,,
Alexandru Savin,Prop,romania,2019,,,,,,,,,,,,,,,,,,
Alexandru Tarus,Prop,romania,2019,,,,,,,,,,,,,,,,,,
Constantin Pristavita,Prop,romania,2019,,,,,,,,,,,,,,,,,,
Costel Burtila,Tighthead Prop,romania,2019,,,,,,,,,,,,,,,,,,
Cristian Chirica,Number 8,romania,2019,,,,,,,,,,,,,,,,,,
Dragos Ser,Openside Flanker,romania,2019,,,,,,,,,,,,,,,,,,
Florin Bardasu,Hooker,romania,2019,,,,,,,,,,,,,,,,,,
Marius Antonescu,Lock,romania,2019,,,,,,,,,,,,,,,,,,
Marius Iftimiciuc,Lock,romania,2019,,,,,,,,,,,,,,,,,,
Mihai Macovei,Flanker 7,romania,2019,,,,,,,,,,,,,,,,,,
Ovidiu Cojocaru,Hooker,romania,2019,,,,,,,,,,,,,,,,,,
Alexandru Bucur,Wing,romania,2019,,,,,,,,,,,,,,,,,,
Andrei Gorin,,romania,2019,,,,,,,,,,,,,,,,,,
Balan Vasile,Fly Half,romania,2019,,,,,,,,,,,,,,,,,,
Daniel Plai,Fly half,romania,2019,,,,,,,,,,,,,,,,,,
Florian Rosu,Fullback,romania,2019,,,,,,,,,,,,,,,,,,
Florin Surugiu,Scrum half,romania,2019,,,,,,,,,,,,,,,,,,
Gabriel Rupanu,Centre 13,romania,2019,,,,,,,,,,,,,,,,,,
Hinckley Vovasa,Outside centre,romania,2019,,,,,,,,,,,,,,,,,,
Ionel Melinte,Fullback,romania,2019,,,,,,,,,,,,,,,,,,
Ionut Dumitru,Wing,romania,2019,,,,,,,,,,,,,,,,,,
Jason Tomane,Inside centre,romania,2019,,,,,,,,,,,,,,,,,,
Marius Simionescu,Fullback,romania,2019,,,,,,,,,,,,,,,,,,
