,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Johnny Dyer,Blindside Flanker,fiji,2019,,,,,,,,,,,,,,,,,,
Julian Salvi,Flanker 7,fiji,2019,,,,,,,,,,,,,,,,,,
Kitione Kamikamica,Lock,fiji,2019,,,,,,,,,,,,,,,,,,
Leone Nakarawa,Lock,fiji,2019, 0 , 0 , 25 , 26 , 1 , 1 , 32 , 13 , 0 , 0 , 0 , 20 , 1 , 1 , 7 , 3 , 0 , 0 
Mesulame Dolokoto,Hooker,fiji,2019, 5 , 1 , 18 , 8 , 1 , 1 , 8 , 3 , 0 , 0 , 0 , 2 , 1 , 0 , 2 , 1 , 0 , 0 
Paul Doran-Jones,Prop,fiji,2019,,,,,,,,,,,,,,,,,,
Peceli Yato,Number 8,fiji,2019, 5 , 1 , 24 , 12 , 1 , 2 , 2 , 0 , 0 , 0 , 0 , 15 , 1 , 6 , 1 , 1 , 0 , 0 
Peni Ravai,Prop,fiji,2019, 0 , 0 , 9 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 3 , 0 , 0 , 2 , 0 , 0 
Samuel Matavesi,Hooker,fiji,2019, 0 , 0 , 8 , 4 , 1 , 1 , 2 , 0 , 0 , 0 , 0 , 14 , 1 , 0 , 3 , 3 , 0 , 0 
Scott Lawson,Hooker,fiji,2019,,,,,,,,,,,,,,,,,,
Temo Mayanavanua,Lock,fiji,2019,,,,,,,,,,,,,,,,,,
Tevita Ratuva,Flanker 6,fiji,2019, 0 , 0 , 33 , 12 , 0 , 1 , 3 , 1 , 0 , 0 , 0 , 9 , 2 , 0 , 2 , 1 , 0 , 0 
Thomas Waldrom,Number 8,fiji,2019,,,,,,,,,,,,,,,,,,
Viliame Mata,Number 8,fiji,2019, 0 , 0 , 19 , 11 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 17 , 3 , 2 , 2 , 0 , 0 , 0 
Aminiasi Tuimaba,Fullback,fiji,2019,,,,,,,,,,,,,,,,,,
Apisai Naqalevu,Centre,fiji,2019,,,,,,,,,,,,,,,,,,
Ben Volavola,Fly half,fiji,2019,,,,,,,,,,,,,,,,,,
Eneriko Buliruarua,Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Eroni Sau,Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Frank Lomani,Scrum half,fiji,2019, 5 , 1 , 28 , 6 , 2 , 1 , 154 , 3 , 9 , 0 , 0 , 11 , 4 , 2 , 3 , 1 , 0 , 0 
Haereiti Hetet,,fiji,2019,,,,,,,,,,,,,,,,,,
Josua Tuisova,Wing,fiji,2019, 10 , 2 , 106 , 21 , 5 , 2 , 7 , 4 , 0 , 0 , 0 , 14 , 5 , 3 , 3 , 1 , 0 , 0 
Kini Murimurivalu,Fullback,fiji,2019, 5 , 1 , 69 , 20 , 3 , 1 , 11 , 1 , 5 , 0 , 0 , 4 , 1 , 2 , 1 , 1 , 0 , 0 
Lee-Roy Atalifo,,fiji,2019,,,,,,,,,,,,,,,,,,
Levani Botia,Centre,fiji,2019, 0 , 0 , 52 , 25 , 3 , 2 , 14 , 7 , 1 , 0 , 0 , 14 , 6 , 1 , 2 , 4 , 1 , 0 
Manasa Mataele,Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Martial Lagain,,fiji,2019,,,,,,,,,,,,,,,,,,
MasivesiDakuwaqa,,fiji,2019,,,,,,,,,,,,,,,,,,
Mesake Doge,,fiji,2019,,,,,,,,,,,,,,,,,,
Mesulame Kunavula,,fiji,2019,,,,,,,,,,,,,,,,,,
Moses Sorovi,Scrum Half,fiji,2019,,,,,,,,,,,,,,,,,,
Nemani Nadolo,Left Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Neville Edwards,Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Nikola Matawalu,Left Wing,england,2019,,,,,,,,,,,,,,,,,,
Onisi Ratave,Right Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Peniami Narisia,Centre,fiji,2019,,,,,,,,,,,,,,,,,,
Setariki Tuicuvu,Fullback,fiji,2019,,,,,,,,,,,,,,,,,,
Simione Kuruvoli,Scrum Half,fiji,2019,,,,,,,,,,,,,,,,,,
Teti Tela,Fly half,fiji,2019,,,,,,,,,,,,,,,,,,
Vilimoni Botitu,Inside centre,fiji,2019,,,,,,,,,,,,,,,,,,
Vinaya Habosi,Left Wing,fiji,2019,,,,,,,,,,,,,,,,,,
Waisea Nayacalevu,Centre,fiji,2019, 10 , 2 , 113 , 19 , 2 , 1 , 13 , 4 , 0 , 0 , 0 , 21 , 9 , 1 , 6 , 1 , 0 , 0 
Zuriel Togiatama,,fiji,2019,,,,,,,,,,,,,,,,,,
Beka Gigashvili,Hooker,georgia,2019, 0 , 0 , 18 , 14 , 2 , 1 , 1 , 0 , 0 , 0 , 0 , 24 , 1 , 0 , 2 , 3 , 0 , 0 
Giorgi Tsutskiridze,Blindside flanker,georgia,2019,,,,,,,,,,,,,,,,,,
Guram Gogichashvili,Prop,georgia,2019, 0 , 0 , 24 , 20 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23 , 2 , 1 , 2 , 2 , 0 , 0 
Lasha Jaiani,Lock 4,georgia,2019,,,,,,,,,,,,,,,,,,
Lasha Lomidze,Flanker 6,georgia,2019, 0 , 0 , 15 , 5 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 8 , 3 , 0 , 1 , 0 , 0 , 0 
Mikheil Nariashvili,Prop,georgia,2019,,,,,,,,,,,,,,,,,,
Nikoloz Khatiashvili,Prop,georgia,2019,,,,,,,,,,,,,,,,,,
Nodar Tcheishvili,Lock,georgia,2019,,,,,,,,,,,,,,,,,,
Otar Giorgadze,Flanker 7,georgia,2019, 5 , 1 , 115 , 21 , 4 , 1 , 7 , 1 , 0 , 0 , 0 , 9 , 1 , 0 , 5 , 1 , 0 , 0 
Sandro Mamamtavrishvili,Openside flanker,georgia,2019,,,,,,,,,,,,,,,,,,
Shalva Mamukashvili,Hooker,georgia,2019, 5 , 1 , 15 , 17 , 1 , 1 , 4 , 0 , 0 , 0 , 0 , 27 , 2 , 0 , 5 , 2 , 0 , 0 
Tornike Jalagonia,Number 8,georgia,2019,,,,,,,,,,,,,,,,,,
Akaki Tabutsadze,Right Wing,georgia,2019,,,,,,,,,,,,,,,,,,
Davit Meskhi,,georgia,2019,,,,,,,,,,,,,,,,,,
Deme Tapladze,Fullback,georgia,2019,,,,,,,,,,,,,,,,,,
Gela Aprasidze,Scrum half,georgia,2019, 0 , 0 , 42 , 12 , 2 , 1 , 88 , 4 , 16 , 0 , 0 , 14 , 2 , 0 , 2 , 1 , 0 , 0 
Giorgi Babunashvili,Fly Half,georgia,2019,,,,,,,,,,,,,,,,,,
Giorgi Chkoidze,,georgia,2019,,,,,,,,,,,,,,,,,,
Giorgi Javakhia,Fullback,georgia,2019,,,,,,,,,,,,,,,,,,
Grigor Kerdikoshvili,Fullback,georgia,2019,,,,,,,,,,,,,,,,,,
Lasha Khmaladze,Fly half,georgia,2019, 0 , 0 , 72 , 11 , 3 , 1 , 19 , 3 , 11 , 0 , 0 , 10 , 5 , 0 , 0 , 0 , 0 , 0 
Luka Japaridze,,georgia,2019,,,,,,,,,,,,,,,,,,
Luka Nioradze,Fullback,georgia,2019,,,,,,,,,,,,,,,,,,
Merab Sharikadze,Centre 12,georgia,2019,,,,,,,,,,,,,,,,,,
Miriani Modebadze,Wing,georgia,2019, 0 , 0 , 12 , 10 , 2 , 1 , 6 , 2 , 3 , 0 , 0 , 6 , 1 , 2 , 2 , 0 , 0 , 0 
Niko Aptsiauri,Fullback,georgia,2019,,,,,,,,,,,,,,,,,,
Tedo Abzhandadze,Fly half,georgia,2019, 21 , 0 , 19 , 5 , 2 , 3 , 65 , 0 , 20 , 6 , 3 , 10 , 1 , 1 , 4 , 0 , 0 , 0 
Tornike Kakhoidze,Fullback,georgia,2019,,,,,,,,,,,,,,,,,,
Vano Karkadze,,georgia,2019, 0 , 0 , 13 , 3 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 
Vasil Lobzhanidze,Scrum half,georgia,2019, 0 , 0 , 10 , 7 , 0 , 0 , 143 , 5 , 25 , 0 , 0 , 14 , 4 , 2 , 9 , 1 , 0 , 0 
Alex Dombrandt,Blindside Flanker,england,2019,,,,,,,,,,,,,,,,,,
Alfie Barbeary,Blindside Flanker,england,2019,,,,,,,,,,,,,,,,,,
