,position,team,year
Manasa Mataele,Wing,fiji,2018
Martial Lagain,,fiji,2018
MasivesiDakuwaqa,,fiji,2018
Mesake Doge,,fiji,2018
Mesulame Kunavula,,fiji,2018
Moses Sorovi,Scrum Half,fiji,2018
Nemani Nadolo,Left Wing,fiji,2018
Neville Edwards,Wing,fiji,2018
Nikola Matawalu,Left Wing,england,2018
Onisi Ratave,Right Wing,fiji,2018
Peniami Narisia,Centre,fiji,2018
Setariki Tuicuvu,Fullback,fiji,2018
Simione Kuruvoli,Scrum Half,fiji,2018
Teti Tela,Fly half,fiji,2018
Vilimoni Botitu,Inside centre,fiji,2018
Vinaya Habosi,Left Wing,fiji,2018
Waisea Nayacalevu,Centre,fiji,2018
Zuriel Togiatama,,fiji,2018
Beka Gigashvili,Hooker,georgia,2018
Giorgi Tsutskiridze,Blindside flanker,georgia,2018
Guram Gogichashvili,Prop,georgia,2018
Lasha Jaiani,Lock 4,georgia,2018
Lasha Lomidze,Flanker 6,georgia,2018
Mikheil Nariashvili,Prop,georgia,2018
Nikoloz Khatiashvili,Prop,georgia,2018
Nodar Tcheishvili,Lock,georgia,2018
Otar Giorgadze,Flanker 7,georgia,2018
Sandro Mamamtavrishvili,Openside flanker,georgia,2018
Shalva Mamukashvili,Hooker,georgia,2018
Tornike Jalagonia,Number 8,georgia,2018
Akaki Tabutsadze,Right Wing,georgia,2018
Davit Meskhi,,georgia,2018
Deme Tapladze,Fullback,georgia,2018
Gela Aprasidze,Scrum half,georgia,2018
Giorgi Babunashvili,Fly Half,georgia,2018
Giorgi Chkoidze,,georgia,2018
Giorgi Javakhia,Fullback,georgia,2018
Grigor Kerdikoshvili,Fullback,georgia,2018
Lasha Khmaladze,Fly half,georgia,2018
Luka Japaridze,,georgia,2018
Luka Nioradze,Fullback,georgia,2018
Merab Sharikadze,Centre 12,georgia,2018
Miriani Modebadze,Wing,georgia,2018
Niko Aptsiauri,Fullback,georgia,2018
Tedo Abzhandadze,Fly half,georgia,2018
Tornike Kakhoidze,Fullback,georgia,2018
Vano Karkadze,,georgia,2018
Vasil Lobzhanidze,Scrum half,georgia,2018
Alex Dombrandt,Blindside Flanker,england,2018
Alfie Barbeary,Blindside Flanker,england,2018
Bevan Rodd,Prop,england,2018
Billy Vunipola,Number 8,england,2018
Charlie Ewels,Lock,england,2018
Courtney Lawes,Flanker 6,england,2018
Ellis Genge,Prop,england,2018
Jack Willis,Number 8,england,2018
Jamie Blamire,Hooker,england,2018
Jamie George,Hooker,england,2018
Joe Heyes,Tighthead Prop,england,2018
Joe Marler,Prop,england,2018
Jonny Hill,Lock,england,2018
Kyle Sinckler,Tighthead Prop,england,2018
Lewis Ludlam,Openside Flanker,england,2018
Luke Cowan-Dickie,Hooker,england,2018
Mako Vunipola,Prop,england,2018
Maro Itoje,Lock 4,england,2018
Nic Dolly,Lock,england,2018
Nick Isiekwe,Lock,england,2018
Oliver Chessum,Blindside flanker,england,2018
Sam Simmonds,Number 8,england,2018
Sam Underhill,Flanker 7,england,2018
Tom Curry,Flanker 7,england,2018
Will Stuart,Tighthead Prop,england,2018
Adam Radwan,Left Wing,england,2018
Ben Youngs,Scrum half,england,2018
Danny Care,Scrum half,england,2018
Elliot Daly,Centre,england,2018
Freddie Steward,Wing,england,2018
George Ford,Fly half,england,2018
George Furbank,Fullback,england,2018
Guy Porter,,england,2018
Harry Randall,Scrum half,england,2018
Henry Arundell,Fullback,england,2018
Henry Slade,Centre,england,2018
Jack Nowell,Wing,england,2018
Jack Van Poortvliet,,england,2018
Joe Cokanasiga,Wing,england,2018
Joe Marchant,Centre,england,2018
Joel Conlon,Left Wing,england,2018
Luke Northmore,Centre 13,england,2018
Manu Tuilagi,Centre 13,england,2018
Marcus Smith,Fly half,england,2018
Mark Atkinson,Centre 12,england,2018
Max Malins,Fly half,england,2018
Ollie Hassell-Collins,Wing,england,2018
Orlando Bailey,Fly Half,england,2018
Owen Farrell,Fly Half,england,2018
Rafi Quirke,Scrum Half,england,2018
Tommy Freeman,Fullback,england,2018
Will Joseph,Fullback,england,2018
Asaeli Ai Valu,Prop,japan,2018
Atsushi Sakate,Hooker,japan,2018
Ben Gunter,Flanker 6,japan,2018
Craig Millar,Prop,japan,2018
Jack Cornelsen,Lock 4,japan,2018
Jiwon Koo,Prop,japan,2018
Kazuki Himeno,Flanker 7,japan,2018
Keita Inagaki,Prop,japan,2018
Michael Leitch,Number 8,japan,2018
Sanaila Waqa,Lock 5,japan,2018
Shinnosuke Kakinaga,Tighthead Prop,japan,2018
Shota Horie,Hooker,japan,2018
Takeshi Hino,Hooker,japan,2018
Wimpie van der Walt,Lock,japan,2018
Daiki Nakajima,Fullback,japan,2018
Dylan Riley,Fullback,japan,2018
Faulua Makisi,Fullback,japan,2018
Gerhard van den Heever,Fullback,japan,2018
Kaito Shigeno,Scrum half,japan,2018
Kanji Shimokawa,Fullback,japan,2018
Kotaro Matsushima,Fullback,japan,2018
Lee Seung-Shin,Fullback,japan,2018
Lua Makisi ,Fullback,japan,2018
Naoto Saito,,japan,2018
Ryohei Yamanaka,Fly half,japan,2018
Ryoto Nakamura,Centre,japan,2018
Ryuga Hashimoto,,japan,2018
Shane Gates,Centre,japan,2018
Shogo Nakano,,japan,2018
Shuhei Takeuchi,Fullback,japan,2018
Siosaia Fifita,,japan,2018
Taichi Takahashi,Fullback,japan,2018
Takayasu Tsuji,Fullback,japan,2018
Takuya Yamasawa,Fly half,japan,2018
Tevita Tatafu,Fullback,japan,2018
Warner Dearns,Fullback,japan,2018
Yu Tamura,Fly half,japan,2018
Yukio Morikawa,Fullback,japan,2018
Yusuke Kizu,Fullback,japan,2018
Yutaka Nagare,Scrum half,japan,2018
Agustin Creevy, Hooker,argentina,2018
Eduardo Bello,Prop,argentina,2018
Facundo Isa,Flanker 6,argentina,2018
Francisco Gomez Kodela,Prop,argentina,2018
Guido Petti Pagadizaval,Lock,argentina,2018
Julian Montoya,Hooker,argentina,2018
Marcos Kremer,Flanker 6,argentina,2018
Matias Alemanno,Lock,argentina,2018
Mayco Vivas,Prop,argentina,2018
Nahuel Tetaz Chaparro,Prop,argentina,2018
Pablo Matera,Blindside Flanker,argentina,2018
Rodrigo Bruni,Number 8,argentina,2018
Santiago Socino,Hooker,argentina,2018
Tomas Lavanini,Lock,argentina,2018
Alexander Todua,Wing,argentina,2018
Bautista Delguy,Wing,argentina,2018
Benjamin Urdapilleta,Fly half,argentina,2018
Domingo Miotti,Fly half,argentina,2018
